Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа бедра ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа бедра ЦБ ,вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа голени ЦБ, вес, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени с кожей ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа голени ЦБ, монолит, зам",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени с кожей ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,7 - 2,5 кг, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, на подложке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,7 - 1,8 кг., в пакете, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, на подложке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, на подложке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, на подложке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, на подложке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра с кожей ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мясо ЦБ, монолит, зам., мех.обвалки, Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на положке, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, охл., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, групп., охл., Э",Действителен до
